MissionTime,Latitude,Longtitude,Street,House,City,Comment,mission_type,num_of_casualties
9/1/2015 9:06:05 AM,32.818872200000,34.993291099999,37,,דרך אלנבי חיפה,,תאונת דרכים קשה,
9/1/2015 9:11:19 AM,32.970422000000,35.542658999999,ראש פינה,,צפת מחוז הצפון,,תאונת דרכים קשה,
9/1/2015 9:11:41 AM,32.046082000000,34.755085000000,שבטי ישראל,,תל אביב יפו מחוז תל אביב,,תאונת דרכים קלה,
9/1/2015 9:16:55 AM,32.081703000000,34.841063999999,הרב כהנמן,,בני ברק מחוז תל אביב,,תאונת דרכים קלה,
9/1/2015 9:17:54 AM,-46.118203900000,169.355171400000,Mount Mistake Road,,Popotunoa Otago,,תאונת דרכים קלה,
9/1/2015 9:21:55 AM,31.673855900000,34.575599199999,שדרות יצחק רבין,,אשקלון אשקלון,,תאונת דרכים קלה,
9/1/2015 9:31:51 AM,32.102482000000,34.787412000000,"ש""י עגנון",,תל אביב יפו מחוז תל אביב,,תאונת דרכים קלה,
9/1/2015 9:33:00 AM,32.091027000000,34.789281999999,פנקס,,תל אביב יפו מחוז תל אביב,,תאונת דרכים קלה,
9/1/2015 9:52:02 AM,32.000321000000,34.870453999999,"נתב""ג",,רמלה מחוז המרכז,,תאונת דרכים קלה,
9/1/2015 9:54:23 AM,32.036410300000,34.759827500000,מחלף וולפסון,,תל אביב יפו מחוז תל אביב,,תאונת דרכים קלה,

