/article/3446059	                                            مصرع الشاب عبد الله ابو خطي من يافا بحادث دراجة نارية ذاتي بمركز البلاد                                        	2021-11-23 15:51:35</time>	                                        ذكرت مصادر طبية لمراسل موقع بانيت وصحيفة بانوراما ان سائق دراجة نارية في الثلاثينات من العمر، من سكان مدينة يافا،لقي مصرعه بعد ظهر اليوم متأثرا بجراحه                                     ,
/article/3446049	                                            مصرع السائق رزق اشوي من رهط  بحادث على شارع 375                                        	2021-11-23 14:35:56</time>	                                        علم مراسل موقع بانيت وصحيفة بانوراما ، من مصادر طبية ، انّ سائق شاحنة في الأربعين من عمره لقي مصرعه بحادث طرق وقع على شارع 375 . وعلم مراسل ،                                     ,
/article/3445882	                                            حادث طرق بمفترق الحلزون وازمة سير خانقة بالمكان                                        	2021-11-23 11:53:33</time>	                                        افاد مراسل موقع بانيت وصحيفة بانوراما قبل قليل ان حادث سير وقع في مفترق الحلزون  ويفيد مراسلنا ان ازمة سير خانقة يشهدها شارع 70 بالمقطع  <img src="/img/icons-video.gif">,
/article/3445709	                                            زلفة : مصرع عامل نظافة دهسا تحت عجلات شاحنة نفايات                                        	2021-11-22 19:25:59</time>	                                        ذكرت مصادر طبية انها تلقت بلاغا حول شاب في العشرينات من العمر فاقدا الوعي بحالة خطيرة في بلدة زلفة ، الطواقم الطبية قدمت الإسعافات الأولية للمصاب                                     ,
/article/3445667	                                            اصابة 5 اشخاص بينهم رضيعتين بانقلاب مركبة رباعية الدفع بحي معاوية في ام الفحم                                        	2021-11-22 17:14:53</time>	                                        علم موقع بانيت وصحيفة بانوراما من مصادر طبية ان مركبة رباعية الدفع انقلبت في حي معاوية في مدينة ام الفحم مما اسفر عن اصابة رضيعتين (10 شهور) و3 اشخاص اخرين.                                    ,
/article/3445322	                                            أصحاب شركات شاحنات وسائقون من النقب :‘ قرار تحديد ساعات عمل الشاحنات يمس بلقمة عيشنا ‘                                        	2021-11-22 07:53:30</time>	                                        في أعقاب قرار قيادة الجيش في منطقة المركز عن تغيير في ساعات عمل الشاحنات التي تمر على طريق معبر ميتار (الظاهرية) ، حيث سيتم منع الشاحنات من السير على<img src="/img/icons-video.gif">,
/article/3445321	                                            ضرب وهرب: اصابة سائق دراجة نارية بحادث في تل أبيب                                        	2021-11-22 07:36:26</time>	                                        تحقق الشرطة في حادث ضرب وهرب في مدينة تل أبيب ، حيث وقع حادث بين مركبة ودراجة نارية ، مما اسفر عن إصابة سائق النارية بجروح متوسطة ،                                    ,
/article/3445189	                                            اصابة متوسطة لرجل بحادث طرق على مدخل الرملة                                        	2021-11-21 18:20:07</time>	                                        علم مراسل موقع بانيت وصحيفة بانوراما من مصادر طبية أن حادث طرق بين مركبتين وقع على مدخل مدينة الرملة ، مما اسفر عن إصابة رجل ( 46 عاما ) وصفت حالته بالمتوسطة .                                    ,
/article/3445174	                                            اصابة خطيرة لسائق دراجة نارية بحادث ذاتي قرب الرملة                                        	2021-11-21 17:41:22</time>	                                        ذكرت مصادر طبية لمراسل موقع بانيت وصحيفة بانوراما ان سائق دراجة نارية ( 48 عاما ) ، أصيب مساء اليوم بجروح وصفت بالخطيرة اثر تعرضه لحادث طرق ذاتي حيث تزحلقت                                    ,
/article/3445152	                                             اصابتان متوسطة وطفيفة بحادث بين مركبتين في بئر السبع                                         	2021-11-21 14:25:43</time>	                                         افاد مراسل موقع بانيت وصحيفة بانوراما نقلا عن مصادر طبية ان حادث طرق بين مركبتين وقع صباح اليوم في مدينة بئر السبع، مما اسفر عن اصابة شابين وصفت جراح                                     ,
/article/3444437	                                            مصرع الشاب يونس المراحلة بحادث قرب سجن نفحة بالنقب                                        	2021-11-19 23:11:23</time>	                                        أفاد مراسل موقع بانيت وصحيفة بانوراما نقلا عن مصادر طبية وشرطية أن حادث طرق ذاتي وقع الليلة قرب سجن نفحة الصحراوي في النقب ، مما أسفر عن مصرع شخص                                    ,
